Project ID,Project code,Item code,Item description,Item category name,Units expected,Units Produced,Units remaining,Due date,Project status
1831942,GCC390747,GCC41069,280/14/21.3oz CAR TRIO XL SUB,Co-Pack Finished Good,32,0,32,2019-Jul-22 12:00 AM,Open
1831941,GCC390612,GCC84072,12/40ct Assorted FG,Retail Packaging,256,0,256,2019-Jul-20 12:00 AM,Open
1831940,GCC390331,GCC62274,6/14.86oz XL ASST DK SUB FDM,Co-Pack Finished Good,16450,0,16450,2019-Jul-26 12:00 AM,Open
1831939,GCC390322,GCC62246,6/8.22oz LG SS Coll SUB,Co-Pack Finished Good,6500,0,6500,2019-Jul-19 12:00 AM,Open
1831916,GCC396868,GCC84224,36/American Rect Tin FG,Retail Packaging,96,0,96,2019-Jun-20 12:00 AM,Open
1831915,GCC396862,GCC83789,12/Signature Flat BlueBx FG 16,Retail Packaging,120,0,120,2019-Jun-20 12:00 AM,Open
1831914,GCC396856,GCC83361,25/SM Acetate Brown FG 15,Retail Packaging,108,0,108,2019-Jun-20 12:00 AM,Open
1831913,GCC396860,GCC83776,36/SF GG Bridge Ppr Bx FG 16,Retail Packaging,135,0,135,2019-Jun-20 12:00 AM,Open
1831912,GCC396853,GCC82329,36/ID Gold Box FG,Retail Packaging,90,0,90,2019-Jun-20 12:00 AM,Open
1831853,1831853,GCC40002RW,73/ED MXD BR DSPLY - Relabeling Rework,Co-Pack Finished Good,270,270,0,,Booked
1831665,GCC396960,GCC70970RW,540 MK SS ALM SQ BULK,Semi Finished Good,200,206,-6,2019-Jun-30 11:33 AM,Booked
1831654,GCC396959,GCC70091RW,540 72% DK YRD SQ BULK,Semi Finished Good,400,396,4,2019-Jun-30 11:23 AM,Closed
1822380,GCC393213,GCC40632,10/8.51 XM CAR TRIO SUB400 WM,Co-Pack Finished Good,12448,0,12448,2019-Jul-20 12:00 AM,Open
1822379,GCC394646,GCC62350,72/3.5oz XM PBK BAR DSPLY NAT,Co-Pack Finished Good,2793,0,2793,2019-Jul-20 12:00 AM,Open
1822187,GCC393195,GCC40243,12/4.2 XM MKCAR FB SNWM SUB200,Co-Pack Finished Good,39984,0,39984,2019-Jun-28 12:00 AM,Booked
1817987,GCC395680,GCC41316,72/MXD ED BARS DSPLY WAGS,,5061,0,5061,2019-Jun-27 09:00 PM,Open
1813192,GCC386899,GCC62303,6/4.85oz CLSC ASST SQ SUB,Co-Pack Finished Good,20000,0,20000,2019-Jun-20 12:00 AM,Booked
1813191,GCC388037,GCC40900,12/6.3oz MK SSCAR TWN SUB,Co-Pack Finished Good,7800,0,7800,2019-Jun-27 09:00 PM,Booked
1813190,GCC389878,GCC83413,12/80ct Everyday Asst FG,Retail Packaging,480,480,0,2019-Jun-10 09:00 PM,Closed
1813189,GCC389888,GCC84072,12/40ct Assorted FG,Retail Packaging,256,0,256,2019-Jun-10 09:00 PM,Open
