Project ID,Project code,Item code,Item description,Item category name,Units expected,Units Produced,Units remaining,Due date,Project status,Runnable,BOM After Production
1813093,GCC395951,GCC61534,280/10/15.01 XL-C ID SSS SUB,Co-Pack Finished Good,11,0,11,2019-Jun-15 09:00 PM,Open,False,"GCC102082: 6607.0
GCC102125: -308.0
GCC1706: 5018155.0
GCC2490: 9894.0
GCC2513: 17417.0
GCC2618: 40.0
GCC2863: 24017.0
GCC4330: 6321.0
GCC4730: 2485.0
GCC5470: 4345.0
GCC70124: 153746.228
GCC76091: -61.599999999999994
GCC76853: -61.599999999999994
GCC7754: 34300.0
GCC8516: 10582.0"
1813092,GCC396171,GCC40166,6/4.3oz MK SS ALM mini SUB,Co-Pack Finished Good,7000,0,7000,2019-Jun-27 09:00 PM,Booked,False,"GCC0500: 32736.71
GCC100309: 45648.0
GCC100424: 52329.0
GCC1706: 5004177.0
GCC3737: 72.94999999999999
GCC75963: -680.4
GCC8285: 93712.4"
1813091,GCC396040,GCC61121,12/7.06oz XMS PBARK SUB (CAN),Co-Pack Finished Good,3432,0,3432,2019-Jun-15 09:00 PM,Booked,False,"GCC0500: 32696.7156
GCC101346: -4884.0
GCC1706: 5011313.0
GCC2318: 717.0
GCC3737: 73.11319999999999
GCC73037: 37190.532400000004"
1813088,GCC396198,GCC40928,45/MXD ED XL SUB DSPLY,Co-Pack Finished Good,290,0,290,2019-Jun-15 09:00 PM,Open,False,"GCC0500: 32690.11
GCC100208: 1660.0
GCC100209: 5446.0
GCC100211: 2087.0
GCC100212: 1365.0
GCC100213: 6892.0
GCC100214: 7426.0
GCC100215: 1746.0
GCC100409: 2802.0
GCC102077: -290.0
GCC1706: 5017597.0
GCC40041: -483.343
GCC62273: -966.6569999999999
GCC62274: -725.0"
1813087,GCC396311,GCC41156,12/5.7oz XM PBK FB SNWM SUB400,Co-Pack Finished Good,9890,0,9890,2019-Jun-20 12:00 AM,Open,False,"GCC0500: 32572.722
GCC101410: 116470.0
GCC1706: 4998397.0
GCC3737: 57.614
GCC5139: 89431.0
GCC73048: -4035.12"
1813086,GCC396314,GCC61946,24/1.06oz XM MCAR SUB050,Co-Pack Finished Good,12785,184,12601,2019-Jun-19 09:00 PM,Booked,True,"GCC0500: 32691.014
GCC102156: 203664.0
GCC1706: 4992607.0
GCC3737: 50.666
GCC4443: 62393.0
GCC4943: 55898.0
GCC77074: 169955.64"
1813085,GCC396312,GCC41185,12/8.6oz XM AST CLA SUB400,Co-Pack Finished Good,7852,7852,0,2019-Jun-15 09:00 PM,Booked,False,"GCC0500: 32611.8516
GCC102148: -47123.0
GCC1706: 5002473.0
GCC3737: 62.505199999999995
GCC5139: 91469.0
GCC70077: 44717.313599999994
GCC77074: 170052.312
GCC77082: 84688.312"
1813083,GCC396431,GCC61979,1/26.6oz Mk Car SQ 50ct CDY,Co-Pack Finished Good,22000,0,22000,2019-Jun-15 09:00 PM,Booked,True,"GCC0456: 125.8
GCC101601: 5968.0
GCC1706: 4974177.0
GCC4430: 10971.0
GCC77074: 168939.0
GCC8516: 10542.4"
1813082,GCC396420,GCC40470,200/10/18.1oz XL-C Gold Sams,Co-Pack Finished Good,200,0,200,2019-Jun-15 09:00 PM,Booked,False,"GCC100652: 3102.0
GCC101708: 231520.0
GCC2490: 9138.0
GCC2513: 16661.0
GCC2618: -149.0
GCC2843: 162.0
GCC2863: 20325.0
GCC3737: 73.35
GCC4730: 1729.0
GCC6039: 8082.0
GCC70077: 45023.2
GCC70858: -740.0
GCC77074: 170383.0
GCC77076: 14804.0
GCC7754: 33544.0
GCC8516: 10393.0"
1813080,GCC396499,GCC62313,24/1.0oz DK SS CAR XSML PDQ,Co-Pack Finished Good,1919,0,1919,2019-Jun-15 09:00 PM,Open,False,"GCC0500: 32751.8636
GCC101716: 65702.0
GCC1706: 5014339.0
GCC3737: 76.7444
GCC4799: -1919.0
GCC4943: 66764.0
GCC77076: 15419.776"
1813079,GCC396544,GCC41281,280/14/19.14 ED ID ASST SUB710,Co-Pack Finished Good,30,0,30,2019-Jun-15 09:00 PM,Open,False,"GCC101998: 5097.0
GCC102134: 11150.0
GCC102490: 3675.0
GCC102596: 40800.0
GCC2513: 17341.0
GCC2618: 21.0
GCC3737: 79.66999999999999
GCC70124: 153546.28
GCC76091: -206.64
GCC76123: -220.08
GCC7754: 34224.0
GCC8516: 10563.0"
1813078,GCC396545,GCC41282,280/14/19.14 ID w/SSS SUB710,Co-Pack Finished Good,30,0,30,2019-Jun-15 09:00 PM,Booked,False,"GCC101998: 5097.0
GCC102081: 37525.0
GCC102134: 11150.0
GCC102491: 3840.0
GCC2513: 17341.0
GCC2618: 21.0
GCC3737: 79.66999999999999
GCC70124: 153561.4
GCC76091: -220.08
GCC76853: -220.08
GCC7754: 34224.0
GCC8516: 10563.0
GCC70091: 200396.1
GCC70853: 181933.1"
